Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
85,Omri Casspi\casspom01,SF,30,MEM,24,296,17.4,.627,.287,.437,3.1,25.8,14.2,11.7,1.5,1.6,11.1,18.2,,0.5,0.5,0.9,.149,,-1.1,0.5,-0.5,0.1
86,Willie Cauley-Stein\caulewi01,C,25,SAC,30,837,17.9,.546,.003,.323,8.5,22.5,15.4,12.1,2.0,1.6,9.4,20.7,,1.2,0.9,2.1,.121,,-0.2,1.1,0.9,0.6
87,Tyson Chandler\chandty01,C,36,TOT,28,521,11.2,.623,.000,.810,11.6,26.7,19.3,5.0,1.3,1.7,23.4,8.3,,0.6,0.7,1.3,.121,,-2.7,1.6,-1.1,0.1
87,Tyson Chandler\chandty01,C,36,PHO,7,89,11.9,.653,.000,1.500,8.7,40.3,24.4,9.4,1.1,0.9,26.0,13.3,,0.1,0.1,0.2,.103,,-4.8,0.6,-4.1,0.0
87,Tyson Chandler\chandty01,C,36,LAL,21,432,11.1,.613,.000,.630,12.2,23.9,18.2,4.1,1.3,1.8,22.4,7.3,,0.5,0.6,1.1,.124,,-2.2,1.8,-0.4,0.2
88,Wilson Chandler\chandwi01,PF,31,PHI,20,506,8.9,.557,.527,.082,6.1,13.8,10.0,10.7,0.7,1.5,17.4,11.5,,0.3,0.4,0.7,.064,,-1.1,0.2,-0.8,0.1
89,Marquese Chriss\chrisma01,PF,21,HOU,9,53,5.4,.426,.429,.143,6.3,15.9,10.9,8.9,0.9,3.3,18.3,22.7,,-0.1,0.0,-0.1,-0.091,,-7.0,-1.9,-9.0,-0.1
90,Gary Clark\clarkga01,PF,24,HOU,22,371,8.1,.432,.916,.072,3.6,16.6,9.8,3.7,1.4,4.0,2.3,10.4,,0.0,0.3,0.3,.042,,-2.7,0.4,-2.3,0.0
91,Ian Clark\clarkia01,SG,27,NOP,25,353,4.6,.443,.467,.095,1.2,9.9,5.7,11.3,0.8,0.5,14.8,14.9,,-0.3,0.1,-0.2,-0.032,,-4.0,-2.1,-6.1,-0.4
92,Jordan Clarkson\clarkjo01,SG,26,CLE,30,769,17.6,.529,.331,.153,4.7,10.5,7.5,15.5,1.2,0.4,9.4,29.7,,0.7,0.1,0.8,.047,,1.7,-3.6,-1.9,0.0
93,John Collins\collijo01,PF,21,ATL,15,432,20.6,.627,.167,.283,11.7,23.9,17.6,14.9,0.1,1.8,14.9,24.7,,0.8,0.2,1.0,.110,,1.5,-1.3,0.2,0.2
94,Zach Collins\colliza01,C,21,POR,30,572,14.4,.614,.311,.299,7.9,14.8,11.4,6.4,0.9,3.9,16.6,16.5,,0.8,0.5,1.3,.113,,-0.1,0.9,0.8,0.4
95,Darren Collison\collida01,PG,31,IND,31,864,14.2,.528,.302,.255,2.1,8.9,5.6,28.0,2.6,0.4,15.2,15.6,,1.0,1.4,2.4,.132,,-0.3,0.5,0.2,0.5
96,Mike Conley\conlemi01,PG,31,MEM,29,988,20.7,.545,.375,.345,1.7,9.8,5.7,33.4,1.8,1.2,8.6,27.7,,2.0,1.1,3.1,.149,,3.9,-1.1,2.8,1.2
